grid_size,start_x,start_y,start_d,goal_x,goal_y,goal_d,lava_tiles
10,4,2,south,2,3,east,3_6;1_6;7_2;2_4;5_4;1_1;3_2;9_1;6_1;4_0;8_0;1_8;8_7;7_5;6_7;8_2;0_7;1_0;0_1;0_0;1_9;3_5;2_0;6_6;2_1;6_9;9_9;5_3;2_7;9_3;5_5;4_5;2_5;8_4;2_2;5_7;7_0;6_4;4_3;9_8;5_0;8_3;8_8;6_2;0_2;6_5;5_1;3_9;3_1;0_6;9_0;5_6;0_9;4_6;7_7;3_7;2_6;3_4;4_4;8_9;8_5
9,2,1,east,7,7,south,2_3;6_8;8_3;2_6;7_4;0_0;5_6;6_2;1_2;4_2;4_0;5_2;6_7;0_7;1_6;4_4;5_7;4_8;1_4;2_8;6_1;3_7;7_5;4_7;1_3;1_1;7_8;6_0;2_0;3_8;5_3;1_8;7_2;6_5;1_0;2_2;0_5;0_4;7_0;3_4;6_4;3_0;2_7;8_2;8_6;8_4;8_1;3_2
14,13,11,south,7,4,west,2_2;8_10;0_8;13_5;5_13;12_9;6_4;4_5;12_5;3_1;8_5;11_1;13_6;9_13;10_12;0_11;2_7;10_1;13_9;0_3;3_0;10_9;4_3;12_10;4_4;3_7;5_4;8_2;11_2;13_4;0_12;6_7;6_13;3_9;12_4;8_7;3_10;9_0;9_9;7_6;9_4;7_13;9_6;11_0;12_6;5_12;1_4;5_10;11_12;8_12;12_1;7_5;4_2;9_2;9_5;0_4;4_10;10_11;5_8;0_2;3_5;5_0;1_11;0_9;3_3;4_8;11_3;3_6;1_2;1_8;7_2;4_7;5_11;13_2;8_13;2_9;2_4;9_12;7_3;2_10;12_0;0_0;9_10;13_12;3_8;2_0;0_5;11_10;6_1;4_11;7_8;5_5;6_9;8_0;9_11;7_0;9_8;3_2;1_0;4_9;8_3;11_7;13_7;3_11;12_11;5_7;4_6;11_11;12_12;4_0;2_6;11_9;10_4;8_6;9_1;9_7;1_6;1_5;13_1;8_1;0_10;5_6;5_2;8_8;7_1;2_13;6_8;10_5;11_4;2_12;6_3;8_4;7_9;6_12;3_13;13_8;10_8;10_0
13,1,2,west,12,2,east,10_5;0_0;0_3;9_6;8_12;9_5;0_1;4_7;3_2;5_4;3_12;4_3;5_7;10_6;2_9;6_9;9_9;9_10;1_12;2_4;12_0;8_1;2_1;2_3;8_4;3_1;4_9;8_5;0_7;8_7;7_9;4_10;2_0;3_6;2_2;2_11;4_8;7_5;7_11;1_11;10_7;4_1;10_10;4_6;11_9;4_11;2_7;2_8;6_11;7_6;11_3;0_4;11_0;7_2;10_12;11_12;12_9;6_10;1_8;9_8;5_3;6_5;10_8;0_2;8_2;5_0;4_2;0_11;8_6;5_10;7_4;10_2;11_11;6_7;6_3;1_3;3_11;3_0;3_5;11_4;5_9;9_2;7_1;10_9;11_10;6_6;2_6;8_0;9_7;7_10;5_6;0_12;10_11;0_8;3_3;9_0;12_7;0_6;5_11;6_8;10_0;7_8;4_0;3_10;2_10;3_8;3_7;1_7;6_0;5_1;5_2;12_1;4_4;11_6;2_5;0_5;1_9;10_1;4_12;10_4;7_0;3_4;8_3;10_3;7_12;1_0;4_5
14,12,4,north,11,6,south,5_8;8_12;13_12;10_3;13_1;1_1;9_11;6_13;3_6;6_7;6_3;12_6;13_13;2_1;8_0;12_13;8_6;11_1;4_12;2_6;5_13;9_7;6_12;8_9;1_5;1_0;11_4;11_7;6_4;11_3;12_7;12_10;11_0;4_6;12_3;5_5;10_10;8_4;5_1;3_12;2_5;3_10;6_2;10_2;0_11;12_0;4_7;9_10;7_6;13_8;1_13;12_9;3_9;11_13;5_9;13_7;13_6;4_10;0_3;7_7;10_11;7_4;1_4;1_10;5_6;7_5;10_7;3_8;10_12;2_11;2_12;8_13;6_8;12_11;11_11;11_9;9_8;4_2;7_1;10_8;8_11;6_10;13_10;4_3;1_8;5_12;3_1;12_12;8_1;9_13;1_3;3_0;9_4;12_8;5_10;6_0;6_9;9_0;3_2;9_12;3_3;7_12;12_1;2_4;3_5;9_3;11_12;0_5;10_4;3_7;0_2;5_0;11_2;7_2;4_8;13_5;8_7;0_8;3_4;4_11;0_10;8_10;11_10;13_11;3_11;10_5;2_2;6_6;0_0;7_11;5_4;2_8;10_9;13_3;10_13;9_1;10_6;1_2;8_5;7_9;4_5;0_12;13_9;5_7
7,1,1,east,0,4,north,1_6;6_3;4_2;3_5;4_4;3_0;1_3;3_1;6_1;0_1;2_5;5_2;1_4;6_2;6_6;0_6;2_0;2_4;4_1;3_6;2_3;1_5;2_2;2_1;0_5;4_6;0_0;0_3;1_0;5_0;4_3;2_6;3_4;6_0;4_5
8,1,7,north,1,0,east,6_0;6_3;0_3;4_2;6_7;6_1;3_3;1_1;5_6;2_6;4_7;7_0;0_0;7_7;0_6;2_1;5_1;4_1;7_4;2_0;2_5;6_5;3_4;2_4;7_3;4_6;0_2;2_2;7_6;1_5;3_0;3_2;3_6;3_1;7_5;0_4;0_5;5_7;5_2;3_5;5_3;4_4;4_3;6_4;0_1;3_7
7,0,2,west,3,0,south,1_4;4_5;3_2;3_1;3_5;6_1;4_3;4_2;2_0;0_4;4_0;6_4;6_6;0_3;1_0;2_2;5_1;6_3;2_1;0_0;3_4;6_0;1_6;3_6;0_6;4_1;6_2;2_4;3_3;2_6;5_3;5_6;0_1
7,2,1,north,6,2,north,3_5;2_2;0_2;3_3;2_0;4_3;1_4;5_4;3_6;0_0;6_0;4_6;5_5;6_1;5_6;6_5;6_6;5_2;5_1;2_4;1_3;0_5;4_2;1_6;2_5;1_5;6_4;0_1;0_3;0_4;4_5;4_0;2_3;1_0;4_1
9,3,1,west,3,5,east,8_2;8_1;0_3;8_5;4_6;0_0;7_4;6_2;5_5;8_0;1_2;3_3;3_4;5_8;3_0;4_4;5_4;7_3;2_2;4_5;3_2;6_4;2_8;2_1;6_5;1_5;1_7;1_6;8_6;1_1;2_4;5_2;7_7;3_7;0_2;4_1;5_0;6_3;4_2;1_3;1_0;4_8;6_0;2_3;6_8;2_7;7_1;0_8;0_7;7_2;4_7;4_3;5_7;7_8;6_7;5_3
11,8,1,north,9,7,north,3_5;4_10;0_10;9_6;7_8;0_5;0_0;5_10;10_4;2_6;2_1;2_5;9_10;3_3;5_2;5_8;3_4;9_4;4_6;0_8;5_4;1_0;7_9;3_9;8_2;0_1;0_9;8_3;2_10;10_7;6_3;10_0;2_3;8_5;3_1;10_3;7_0;6_4;6_2;9_3;8_8;1_9;8_9;1_2;8_6;4_3;10_6;7_5;3_2;6_9;1_4;1_1;2_8;3_6;1_5;4_0;4_7;6_6;5_7;4_2;5_0;4_5;7_1;4_1;3_10;5_3;2_0;7_7;8_7;9_9;10_10;3_8;6_5;8_10;6_0;1_6;0_7;10_2;5_9;7_4;2_4;4_8;1_8;4_9;3_7;5_1;0_2;2_2;1_3
8,2,2,north,1,4,east,7_3;3_0;7_6;1_5;2_6;4_6;5_7;7_1;4_0;7_5;0_4;0_7;7_0;4_1;2_1;1_7;2_0;4_7;3_4;6_5;5_2;2_3;5_4;6_6;6_7;0_1;1_1;3_3;2_7;3_5;7_2;3_7;3_1;4_5;5_0;7_7;1_3;0_2;4_2;1_6;4_4;0_5;0_3;6_0;5_6;2_4
6,2,3,west,0,4,east,5_0;5_2;1_0;5_5;0_1;4_4;3_4;5_3;3_1;4_2;1_3;2_1;4_0;3_5;2_5;2_2;3_2;5_1;1_2;0_0;1_1;4_5
13,12,11,east,11,1,west,2_11;6_7;7_11;11_3;0_11;2_5;11_2;2_7;8_8;12_5;11_9;12_9;8_5;11_7;3_4;1_8;4_9;12_8;12_4;8_1;2_9;10_11;1_11;6_2;1_5;6_12;3_10;8_11;5_1;9_0;5_12;12_0;3_6;1_1;12_12;1_12;3_2;11_5;0_3;5_8;5_5;7_0;9_2;0_6;7_2;1_0;4_10;0_1;10_2;2_0;11_0;11_6;8_4;7_5;4_12;3_7;12_2;0_12;6_0;9_10;12_6;11_4;5_11;10_1;6_3;7_10;11_11;10_6;8_7;8_3;11_8;9_6;5_2;8_6;5_3;1_9;10_9;7_9;7_8;7_6;0_10;6_9;6_6;4_5;3_9;3_8;9_4;6_10;6_4;1_4;12_10;10_0;2_10;0_4;4_8;7_7;9_1;5_4;0_8;6_11;3_5;4_2;0_5;0_9;5_9;2_1;11_10;0_0;8_0;2_6;3_11;0_2;10_12;11_12;9_9;6_8;4_7;5_6;10_8;5_7;9_7;4_1;5_0;1_3;4_6;0_7
9,7,2,north,0,3,south,7_3;5_5;3_6;2_2;6_3;4_8;5_0;7_7;0_1;2_7;4_0;0_8;6_2;6_8;5_2;1_2;1_5;3_2;1_0;1_1;7_1;3_0;3_5;0_6;2_8;4_4;2_4;7_0;1_6;8_5;6_1;8_3;4_6;7_6;0_0;8_7;8_2;4_3;8_1;6_7;3_8;4_1;5_6;0_4;0_2;7_4;7_8;4_7;2_6
8,3,0,east,1,6,east,6_1;6_6;6_4;4_1;2_1;5_7;4_0;6_2;6_0;5_5;6_5;3_6;0_5;2_3;4_2;0_6;2_7;3_1;3_4;0_7;2_4;0_4;1_5;0_0;4_6;5_2;0_2;3_3;6_7;7_6;5_4;0_3;1_3;4_7;1_0;7_1;2_6;1_2;3_5;5_0;7_0;7_5;6_3;5_3;5_1;7_4;3_7;1_7;4_4
11,4,4,north,8,9,east,9_9;3_0;6_0;1_5;4_9;8_10;6_2;4_8;4_10;4_5;7_4;9_1;0_6;1_7;8_3;8_4;3_8;1_3;3_2;0_0;4_2;6_5;2_1;3_7;4_0;5_7;6_8;2_4;9_7;7_7;8_6;0_3;10_3;10_8;10_9;0_8;3_6;7_0;8_8;9_8;5_1;1_4;5_6;6_10;9_10;10_6;2_3;10_4;7_5;6_9;3_4;10_2;7_1;1_9;7_8;10_10;6_7;3_3;5_10;5_2;1_6;5_4;3_10;0_9;6_3;9_3;7_3;2_5;2_7;0_5;9_6;10_1;8_7;3_9;10_5;5_8;8_5;1_10;0_1;0_7;5_5;6_4;8_2
12,2,7,north,10,3,south,5_4;0_5;8_7;9_8;9_11;1_4;9_9;11_5;6_7;4_6;11_2;11_9;7_6;2_4;10_9;10_2;10_5;7_0;10_10;0_4;4_11;7_2;8_8;0_2;3_7;6_8;8_11;1_2;0_6;10_8;4_3;2_5;9_0;8_9;11_7;0_7;11_4;5_7;6_0;2_0;10_7;1_3;3_0;6_5;3_4;6_11;7_4;10_11;6_3;9_7;5_0;2_6;1_0;3_8;6_2;1_8;1_7;8_0;8_5;9_3;11_1;5_2;8_10;7_1;8_2;4_8;5_8;7_11;3_6;4_2;0_0;6_10;7_9;10_0;4_10;2_1;7_5;9_4;2_8;3_10;0_9;5_1;7_7;4_5;2_11;10_6;7_10;0_8;1_6;5_3;8_6;3_2;2_10;1_5;11_10;4_0;7_3;1_9;5_6;6_1
7,1,4,north,4,3,west,2_5;6_3;1_0;5_0;1_1;4_0;2_3;3_2;5_5;0_5;6_5;2_6;3_5;0_1;5_3;1_6;1_2;0_3;2_1;6_2;4_1;0_4;4_6;6_4;2_4;6_1;3_3;4_2;1_5
8,3,5,east,3,3,east,4_2;3_2;5_2;1_1;2_7;3_6;2_0;7_6;5_6;3_4;6_0;7_5;4_0;7_0;7_4;6_2;6_4;0_5;2_1;0_3;4_7;7_3;1_0;3_0;7_2;2_6;0_0;3_7;1_5;2_2;4_6;1_4;6_7;4_5;5_0;4_4;7_7;3_1;1_6
12,4,8,west,7,6,east,2_7;8_2;0_0;10_9;5_9;1_0;8_4;11_4;10_6;2_1;9_11;2_8;9_2;4_2;0_11;2_9;6_3;4_11;11_5;2_2;8_7;6_5;10_1;11_6;11_9;7_10;3_2;1_6;11_2;0_9;11_3;1_8;3_6;8_5;3_7;7_0;8_8;5_7;0_8;7_2;8_1;9_1;3_3;4_3;11_10;9_10;1_1;9_0;0_7;5_0;5_6;9_8;1_4;8_10;0_2;4_7;1_7;1_3;4_0;3_5;7_7;3_11;8_9;10_4;2_3;7_5;0_5;11_1;11_7;6_2;1_2;5_5;5_10;11_0;7_1;4_10;7_9;9_4;10_0;8_0;10_7;0_4;3_1;2_4;0_3;6_0;0_10;9_6;7_8
6,0,2,north,5,5,north,1_4;0_1;0_3;3_4;5_3;1_3;2_3;5_4;4_1;1_2;3_0;2_4;0_5;0_4;1_1;3_1;2_1;1_0;2_0;2_5;4_2;1_5;3_3;5_2;2_2;4_4
10,9,2,west,0,9,east,6_7;1_5;7_7;4_8;9_4;6_2;3_1;3_7;9_3;8_4;6_3;3_4;6_4;1_7;6_9;7_1;8_2;9_0;7_8;7_5;7_4;1_8;9_7;4_0;0_3;0_2;4_9;5_9;7_6;8_1;5_1;2_6;4_2;1_3;2_2;6_8;8_6;7_3;3_6;3_3;6_0;7_0;4_1;4_5;5_3;5_7;1_9;2_3;8_9;7_9;8_0;8_5;0_5;2_4;1_4;0_4;3_0;0_8;4_4;7_2;5_5;0_7;5_2;4_3;6_5;0_1;9_8;6_6;2_8
8,3,2,south,4,4,north,7_0;3_5;7_7;5_3;4_3;2_5;1_2;0_5;6_5;2_3;6_6;6_7;1_6;5_2;4_5;5_6;5_4;2_2;2_1;4_0;3_4;5_5;7_4;3_3;2_6;5_7;1_1;5_1;1_4;3_1;4_7;0_3;0_2;1_5;2_0;6_1;6_4;0_1;6_3;3_6;1_3;4_2;6_0
6,5,4,east,4,1,north,4_0;1_0;4_4;1_4;3_0;5_2;2_1;5_3;2_5;0_2;5_1;2_4;2_0;2_2;1_2;1_5;5_5;3_4;3_2;0_4;0_0;0_3
6,0,3,west,1,2,east,5_3;2_0;1_4;3_3;2_2;4_1;5_4;2_1;1_3;0_2;1_0;4_0;3_1;5_2;3_2;2_5;5_0;0_0;5_5;1_1;3_4;4_4
8,2,3,north,2,2,north,2_5;7_0;6_2;1_1;6_5;4_5;5_2;1_0;6_7;0_1;3_3;3_4;7_7;4_6;2_0;1_2;5_4;6_6;3_2;6_1;2_6;1_5;5_0;6_0;7_2;7_6;2_1;7_1;0_6;3_6;3_0;3_7;4_7;5_1;1_7;5_5;7_4;5_6;1_4;7_3;0_0;5_7;4_3;0_5;2_4
11,1,8,west,1,2,west,10_3;7_5;10_2;3_9;7_0;4_9;7_9;5_6;8_3;1_3;8_2;2_1;5_7;2_5;4_5;6_3;1_7;0_8;4_10;9_6;10_10;2_9;8_6;9_0;2_2;6_1;0_0;5_1;0_4;10_1;8_10;5_10;7_8;0_6;4_4;3_3;3_2;2_6;4_2;0_1;5_8;8_8;10_6;5_5;0_3;2_10;7_6;2_0;9_8;6_5;0_5;8_9;1_9;7_1;0_2;3_5;4_0;6_4;6_7;7_2;3_10;4_7;10_0;1_0;9_1;8_5;9_2;3_6;6_10;2_4;4_1;6_2;1_4;10_5;8_0;5_4;7_10;1_10;7_3
9,0,7,south,6,7,south,3_1;8_3;6_4;0_0;1_1;3_2;7_6;2_3;8_6;0_2;4_6;0_6;7_8;1_4;1_0;7_7;5_2;4_7;6_5;4_8;8_2;8_8;6_8;7_3;2_0;4_2;6_2;1_7;5_8;2_7;7_2;7_4;8_0;1_5;4_3;5_4;1_2;7_1;8_7;2_2;3_5;4_0;5_1;7_5;5_5;3_3;8_5;8_4;6_6;0_1;3_7;6_1;4_4;1_6;3_6;5_6;4_5;1_3;2_8;0_8;2_6;1_8;0_5
6,1,1,north,5,0,east,0_3;2_1;4_1;3_5;1_2;2_5;3_0;4_4;1_3;4_5;5_2;3_3;3_4;2_0;2_2;0_5;3_2;0_4;1_0;4_2;1_4;4_0;2_3;2_4;0_0;4_3;5_3
9,6,5,east,5,4,north,3_6;3_8;4_6;5_7;5_5;2_6;8_6;3_2;2_8;6_7;0_7;3_3;5_1;3_0;2_0;5_2;8_0;2_1;7_3;3_5;6_2;1_3;0_1;3_7;2_5;0_3;6_4;0_8;5_8;6_3;7_5;8_7;1_4;7_2;7_0;7_7;4_7;0_5;1_1;5_6;7_1;1_6;0_4;2_3;1_0;3_4;0_6;8_4;8_2;1_5;7_4;8_5;8_8;1_2;0_2
14,8,9,west,1,6,east,6_7;3_3;12_9;12_0;13_1;0_3;0_2;7_4;6_9;1_0;8_12;7_8;9_8;11_0;4_9;9_13;12_2;8_6;4_5;5_7;2_4;4_6;5_10;6_4;8_0;13_0;10_3;0_1;5_11;8_4;12_10;2_3;11_10;12_1;9_2;5_13;8_7;9_11;9_9;7_0;13_9;11_5;10_4;10_8;2_8;3_4;0_9;7_7;12_11;1_12;4_2;2_9;11_2;13_3;4_7;10_13;5_1;7_10;9_4;1_3;12_4;10_2;2_7;9_1;11_6;0_11;0_8;12_7;10_9;5_12;12_5;3_13;6_6;3_12;9_0;1_2;10_7;1_13;1_7;10_11;4_1;1_1;13_13;5_9;13_4;9_7;9_3;4_8;0_4;3_8;12_8;2_10;6_11;2_2;5_3;11_9;13_12;4_12;3_11;4_10;3_7;8_5;5_0;11_4;10_10;8_3;10_5;4_13;7_5;3_2;8_1;0_10;11_7;6_1;6_5;13_10;13_7;12_13;11_11;2_6;7_9;2_0;9_10;4_3;4_0;2_5;0_5;8_2;9_6;9_5;6_13;6_10;3_5;7_1;13_8;11_12;13_2;8_8;7_3;5_8;2_1
13,11,3,north,2,5,south,5_4;9_11;5_7;4_3;10_12;4_12;6_6;7_6;11_7;3_3;5_9;2_11;11_9;12_12;5_2;0_5;3_7;6_0;8_5;9_2;4_1;12_3;12_2;2_3;1_10;0_10;8_6;8_8;5_6;6_7;10_11;7_0;1_11;9_4;7_5;7_2;1_5;10_0;11_5;10_10;6_2;1_12;10_3;8_10;1_2;12_6;0_9;10_8;9_9;11_0;3_6;3_2;6_12;4_4;12_4;12_10;1_4;1_8;0_4;2_4;8_1;3_4;1_6;8_4;3_8;10_7;0_0;1_0;10_6;5_1;2_12;4_7;11_12;6_3;4_6;10_9;12_7;12_5;2_9;3_0;5_12;2_6;7_7;6_11;9_8;9_6;7_11;11_10;9_3;0_1;6_9;0_2;5_0;4_0;6_5;11_6;2_0;6_8;7_9;6_4;2_2;2_1;7_8;5_8;8_11;0_6;11_1;0_3;2_10;0_11;6_10;12_11;9_10;2_7;8_3;1_7;9_0;11_4;10_5;5_10;4_8;8_7;9_5;12_8;4_5;5_11;4_10;12_1;4_9
5,0,3,west,2,4,north,1_0;1_1;0_2;3_0;4_1;0_4;3_3;3_1;0_1;2_2;3_4;3_2;4_0;0_0;4_3
11,8,10,east,4,5,west,8_9;5_10;5_1;3_3;0_9;0_5;8_5;10_2;8_0;3_1;10_3;9_8;0_6;1_4;4_9;7_6;6_4;2_8;9_9;8_7;7_10;10_7;8_8;6_10;6_8;5_8;6_0;8_4;9_5;8_2;0_3;9_2;10_9;4_6;5_9;4_1;7_5;1_3;6_9;7_0;5_4;1_1;9_3;6_3;4_4;0_8;10_5;2_5;8_6;7_7;3_5;3_0;4_2;2_7;10_10;5_5;6_5;10_4;7_2;9_7;10_8;3_4;2_10;7_9;1_2;8_1;3_6;4_0;2_6;2_9;9_4;0_2;2_2;6_1;3_8;0_1;4_3;10_6;6_2;0_4
12,10,2,west,1,10,west,7_10;1_1;6_8;3_2;8_4;0_4;11_10;4_7;8_9;6_7;8_8;1_3;6_11;6_5;4_1;4_0;5_8;11_11;8_0;11_0;1_6;1_4;6_4;10_11;9_5;10_1;10_3;11_8;0_2;6_3;10_9;6_2;10_5;2_7;11_9;10_6;6_6;7_3;9_11;3_3;5_11;2_4;3_0;5_4;9_0;11_7;7_5;5_2;0_3;7_0;5_0;0_8;0_7;0_10;4_9;3_5;9_10;8_5;9_6;7_11;3_8;2_0;4_5;11_3;7_9;5_6;10_8;6_9;1_11;3_7;3_11;8_7;2_10;4_8;3_9;9_7;1_9;1_5;9_4;7_2;9_9;9_1;4_6;3_4;3_10;8_2
